l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Offline;85;Thursday;Friday;72.555;596
DTW;ATL;Offline;11;Wednesday;Sunday;164.7533333;596
DTW;ATL;Online Other;28;Thursday;Thursday;120;596
DTW;ATL;Expedia;1;Thursday;Friday;194.42;596
DTW;ATL;Offline;104;Monday;Sunday;96.74;596
DTW;ATL;Expedia;1;Wednesday;Thursday;194.42;596
DTW;ATL;Expedia;1;Monday;Tuesday;203.72;596
DTW;ATL;Expedia;13;Saturday;Friday;133.95;596
DTW;ATL;Offline;45;Friday;Monday;118.37;596
DTW;ATL;Offline;48;Saturday;Friday;139.535;596
DTW;ATL;Offline;14;Tuesday;Tuesday;108.112381;596
DTW;ATL;Offline;22;Wednesday;Thursday;131.2942857;596
DTW;ATL;Offline;3;Saturday;Tuesday;153.6716667;596
DTW;ATL;Offline;85;Tuesday;Wednesday;82.79;596
DTW;ATL;Expedia;3;Wednesday;Saturday;166.51;596
DTW;ATL;Offline;68;Wednesday;Monday;96.74;596
DTW;ATL;Offline;125;Thursday;Wednesday;92.09;596
DTW;ATL;Offline;1;Monday;Tuesday;212.4770563;596
DTW;ATL;Travelocity;16;Tuesday;Thursday;103.72;596
DTW;ATL;Offline;199;Monday;Thursday;78.14;596
DTW;ATL;Travelocity;11;Wednesday;Sunday;128.37;596
DTW;ATL;Offline;107;Saturday;Monday;96.74;596
DTW;ATL;Online Other;14;Tuesday;Tuesday;82.79;596
DTW;ATL;Online Other;3;Saturday;Tuesday;171.16;596
DTW;ATL;Orbitz;101;Wednesday;Saturday;82.79;596
DTW;ATL;Travelocity;146;Thursday;Wednesday;92.09;596
DTW;ATL;Offline;76;Wednesday;Tuesday;110.7;596
DTW;ATL;Expedia;1;Saturday;Sunday;185.12;596
DTW;ATL;Expedia;27;Friday;Thursday;120;596
DTW;ATL;Orbitz;37;Monday;Wednesday;45.58;596
DTW;ATL;Offline;100;Friday;Sunday;114.09;596
DTW;ATL;Offline;52;Friday;Monday;84.34;596
DTW;ATL;Offline;18;Wednesday;Sunday;152.2783333;596
DTW;ATL;Orbitz;1;Thursday;Friday;201.395;596
DTW;ATL;Offline;1;Saturday;Sunday;189.6442308;596
